"","date","CT1","CT2","CT3","CT4"
"1","2016-01-01"," 0"," 0"," 7"," 0"
"2","2016-01-04"," 8"," 8"," 6"," 0"
"3","2016-01-05"," 9","12","15"," 0"
"4","2016-01-06","14","10","14"," 0"
"5","2016-01-07","13","11","10"," 0"
"6","2016-01-08"," 1","11","10"," 0"
"7","2016-01-11"," 9","10","12"," 0"
"8","2016-01-12","14"," 7","13"," 0"
"9","2016-01-13","10","13","13"," 0"
"10","2016-01-14","13","11","12"," 0"
"11","2016-01-15","11","11","12"," 0"
"12","2016-01-18","14","12","12"," 0"
"13","2016-01-19","12"," 9","14"," 0"
"14","2016-01-20","10","14","10"," 0"
"15","2016-01-21","12","10"," 9"," 0"
"16","2016-01-22"," 8","10"," 9"," 0"
"17","2016-01-25"," 3","11","18"," 0"
"18","2016-01-26","12"," 9"," 8"," 0"
"19","2016-01-27"," 7","14","13"," 0"
"20","2016-01-28","11","10"," 0"," 0"
"21","2016-01-29","10","12"," 0"," 0"
"22","2016-02-01","12"," 9"," 7"," 0"
"23","2016-02-02","17","13","11"," 0"
"24","2016-02-03","15"," 0","11"," 0"
"25","2016-02-04","13","14","10"," 0"
"26","2016-02-05","10"," 2"," 9"," 0"
"27","2016-02-08"," 8"," 2"," 9"," 0"
"28","2016-02-09","11"," 3","11"," 0"
"29","2016-02-10","16"," 6","14"," 0"
"30","2016-02-11","14"," 9","13"," 0"
"31","2016-02-12","14"," 7","12"," 0"
"32","2016-02-15","11"," 5","14"," 0"
"33","2016-02-16","16"," 8"," 4"," 0"
"34","2016-02-17","11","11","14"," 0"
"35","2016-02-18","14"," 7"," 9"," 0"
"36","2016-02-19"," 8","11","11"," 0"
"37","2016-02-22","10"," 2","11"," 0"
"38","2016-02-23","11"," 5"," 7"," 0"
"39","2016-02-24","15","14"," 3"," 0"
"40","2016-02-25","12","13","11"," 0"
"41","2016-02-26"," 8"," 7"," 9"," 0"
"42","2016-02-29","11"," 6","15"," 0"
"43","2016-03-01"," 9","13","14"," 0"
"44","2016-03-02"," 8","16"," 0"," 0"
"45","2016-03-03","10","14","10"," 0"
"46","2016-03-04","10"," 6","12"," 0"
"47","2016-03-07","10","13"," 9"," 0"
"48","2016-03-08","14","14","14"," 0"
"49","2016-03-09","13","12"," 8"," 0"
"50","2016-03-10","10","12","10"," 0"
"51","2016-03-11","11","14"," 3"," 0"
"52","2016-03-14"," 3","11","10"," 0"
"53","2016-03-15"," 9","11","12"," 0"
"54","2016-03-16"," 8"," 9"," 0"," 0"
"55","2016-03-17"," 9","12","10"," 0"
"56","2016-03-18","12","15","11"," 0"
"57","2016-03-21"," 8"," 9","11"," 0"
"58","2016-03-22","11"," 9","15"," 0"
"59","2016-03-23","11"," 8"," 7"," 0"
"60","2016-03-24"," 2"," 0"," 3"," 0"
"61","2016-03-25"," 0"," 0"," 6"," 0"
"62","2016-03-28"," 1"," 0","10"," 0"
"63","2016-03-29","12"," 6","16"," 0"
"64","2016-03-30"," 9","15","10"," 0"
"65","2016-03-31","10","10","10"," 0"
"66","2016-04-01","11","14","15"," 0"
"67","2016-04-04","11","12"," 9"," 0"
"68","2016-04-05","11"," 6"," 8"," 0"
"69","2016-04-06","10","12","12"," 0"
"70","2016-04-07","10","10","11"," 0"
"71","2016-04-08","13","13","13"," 0"
"72","2016-04-11"," 9","11","11"," 0"
"73","2016-04-12","12","12"," 8"," 0"
"74","2016-04-13","12","16","13"," 0"
"75","2016-04-14","16","11","10"," 0"
"76","2016-04-15","10"," 0"," 0"," 0"
"77","2016-04-18","16","13"," 8"," 0"
"78","2016-04-19","11","13","15"," 0"
"79","2016-04-20","12","15","13"," 0"
"80","2016-04-21"," 8"," 7"," 9"," 0"
"81","2016-04-22"," 4"," 0"," 3"," 0"
"82","2016-04-25","11","11","13"," 0"
"83","2016-04-26","11","16","12"," 0"
"84","2016-04-27"," 9","15","16"," 0"
"85","2016-04-28","13","11","12"," 0"
"86","2016-04-29","10"," 9","12"," 0"
"87","2016-05-02","12","14","12"," 0"
"88","2016-05-03","13"," 8","13"," 0"
"89","2016-05-04","13","14","11"," 0"
"90","2016-05-05"," 2"," 0"," 0"," 0"
"91","2016-05-06","13"," 8","11"," 0"
"92","2016-05-09","10","10","15"," 0"
"93","2016-05-10","11","13","13"," 0"
"94","2016-05-11","14","13"," 0"," 0"
"95","2016-05-12","10","11"," 0"," 0"
