"","Koder_samlet","SKS1","SKS1_til","SKS2","SKS2_til","SKS3","SKS3_til","SKS4","SKS4_til","SKS5","SKS5_til","SKS6","SKS6_til","Tid_i_min"
"956","UXCA00_UXZ11/UXCE10_UXZ11/UXCE20_UXZ11/UXCE30_UXZ11/UXCG15_TUL2/UXCG15_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af columna cervicalis","uden i.v. kontrast","CT-skanning af columna thoracalis","uden i.v. kontrast","CT-skanning af columna lumbalis","uden i.v. kontrast","CT-skanning af hofte","venstresidig","CT-skanning af hofte","uden i.v. kontrast","0"
"1430","UXCG00_TUL1/UXCG00_TUL2/UXCG00_UXZ11/UXCG50_TUL1/UXCG50_TUL2/UXCG50_UXZ11","CT-skanning af hel underekstremitet","højresidig","CT-skanning af hel underekstremitet","venstresidig","CT-skanning af hel underekstremitet","uden i.v. kontrast","CT-skanning af fod","højresidig","CT-skanning af fod","venstresidig","CT-skanning af fod","uden i.v. kontrast","0"
"1456","UXCG25_TUL1/UXCG25_TUL2/UXCG25_UXZ11/UXCG40_TUL1/UXCG40_TUL2/UXCG40_UXZ11","CT-skanning af knæ","højresidig","CT-skanning af knæ","venstresidig","CT-skanning af knæ","uden i.v. kontrast","CT-skanning af fodled","højresidig","CT-skanning af fodled","venstresidig","CT-skanning af fodled","uden i.v. kontrast","0"
"1460","UXCG25_TUL1/UXCG25_TUL2/UXCG25_UXZ11/UXCG50_TUL1/UXCG50_TUL2/UXCG50_UXZ11","CT-skanning af knæ","højresidig","CT-skanning af knæ","venstresidig","CT-skanning af knæ","uden i.v. kontrast","CT-skanning af fod","højresidig","CT-skanning af fod","venstresidig","CT-skanning af fod","uden i.v. kontrast","0"
"1240","UXCC00_UXZ11/UXCD00_UXZ11/UXCG15_TUL1/UXCG15_TUL2/UXCG15_UXZ11","CT-skanning af thorax","uden i.v. kontrast","CT-skanning af abdomen","uden i.v. kontrast","CT-skanning af hofte","højresidig","CT-skanning af hofte","venstresidig","CT-skanning af hofte","uden i.v. kontrast",NA,NA,"0"
"1286","UXCC70_UXZ11/UXCD30_UXZ11/UXCE10_UXZ11/UXCE20_UXZ11/UXCE30_UXZ11","CT-skanning af aorta thoracalis","uden i.v. kontrast","CT-skanning af aorta abdominalis","uden i.v. kontrast","CT-skanning af columna cervicalis","uden i.v. kontrast","CT-skanning af columna thoracalis","uden i.v. kontrast","CT-skanning af columna lumbalis","uden i.v. kontrast",NA,NA,"0"
"170","UXCD00_UXZ12/UXCD00_UXZ41/UXCD30_UXZ12/UXCD30_UXZ41","CT-skanning af abdomen","både med og uden i.v. kontrast","CT-skanning af abdomen","med CT-angiografi","CT-skanning af aorta abdominalis","både med og uden i.v. kontrast","CT-skanning af aorta abdominalis","med CT-angiografi",NA,NA,NA,NA,"0"
"330","UXCA00_UXZ10/UXCB00_UXZ10/UXCC00_UXZ10/UXCD00_UXZ10","CT-skanning af cerebrum","med i.v. kontrast","CT-skanning af hals","med i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,"0"
"354","UXCA00_UXZ12/UXCB00_UXZ12/UXCC00_UXZ12/UXCD00_UXZ12","CT-skanning af cerebrum","både med og uden i.v. kontrast","CT-skanning af hals","både med og uden i.v. kontrast","CT-skanning af thorax","både med og uden i.v. kontrast","CT-skanning af abdomen","både med og uden i.v. kontrast",NA,NA,NA,NA,"0"
"386","UXCA00_UXZ12A/UXCB00_UXZ10/UXCC00_UXZ10/UXCD00_UXZ10","CT-skanning af cerebrum","både med og uden i.v. kontrast samt peroral kontrast","CT-skanning af hals","med i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,"0"
"459","UXCA00_UXZ11/UXCB00_UXZ11/UXCC00_UXZ11/UXCD00_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af hals","uden i.v. kontrast","CT-skanning af thorax","uden i.v. kontrast","CT-skanning af abdomen","uden i.v. kontrast",NA,NA,NA,NA,"0"
"479","UXCA25_UXZ10/UXCB00_UXZ10/UXCC00_UXZ10/UXCD00_UXZ10","CT-skanning af ansigtsskelet","med i.v. kontrast","CT-skanning af hals","med i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,"0"
