"","date","Avanto","Espree","Prisma","Verio"
"1","2016-01-04"," 9"," 5"," 0"," 7"
"2","2016-01-05"," 8"," 6"," 0"," 7"
"3","2016-01-06"," 7"," 7"," 0"," 3"
"4","2016-01-07"," 6"," 7"," 0"," 7"
"5","2016-01-08"," 2"," 7"," 0"," 7"
"6","2016-01-11"," 7"," 4"," 0"," 5"
"7","2016-01-12"," 8"," 8"," 0"," 7"
"8","2016-01-13"," 7"," 8"," 0"," 0"
"9","2016-01-14"," 7"," 8"," 0"," 0"
"10","2016-01-15"," 9"," 6"," 0"," 8"
"11","2016-01-18"," 9"," 8"," 0"," 5"
"12","2016-01-19"," 6"," 6"," 0"," 9"
"13","2016-01-20"," 7"," 8"," 0"," 5"
"14","2016-01-21"," 6"," 6"," 0"," 5"
"15","2016-01-22"," 7"," 4"," 0"," 7"
"16","2016-01-25"," 7"," 7"," 0"," 6"
"17","2016-01-26"," 8"," 6"," 0"," 8"
"18","2016-01-27"," 7"," 6"," 0"," 5"
"19","2016-01-28"," 4"," 8"," 0"," 6"
"20","2016-01-29"," 6"," 6"," 0"," 7"
"21","2016-02-01"," 6"," 8"," 0"," 5"
"22","2016-02-02"," 6"," 8"," 0"," 8"
"23","2016-02-03"," 7"," 8"," 0"," 6"
"24","2016-02-04"," 6"," 7"," 0"," 6"
"25","2016-02-05"," 9","10"," 0"," 7"
"26","2016-02-08"," 8","10"," 0"," 6"
"27","2016-02-09"," 9"," 9"," 0"," 8"
"28","2016-02-10"," 9"," 0"," 0"," 6"
"29","2016-02-11"," 6"," 7"," 0"," 6"
"30","2016-02-12"," 7"," 8"," 0"," 6"
"31","2016-02-15"," 8","12"," 0"," 5"
"32","2016-02-16"," 7","10"," 0"," 8"
"33","2016-02-17"," 7"," 8"," 0"," 8"
"34","2016-02-18"," 8"," 8"," 0"," 7"
"35","2016-02-19"," 7"," 9"," 0"," 7"
"36","2016-02-22"," 6"," 8"," 0"," 5"
"37","2016-02-23"," 8"," 3"," 0"," 6"
"38","2016-02-24"," 3"," 5"," 0"," 4"
"39","2016-02-25"," 8"," 8"," 0"," 1"
"40","2016-02-26"," 3"," 8"," 0"," 7"
"41","2016-02-29"," 8"," 9"," 0"," 6"
"42","2016-03-01","10"," 7"," 0"," 7"
"43","2016-03-02"," 6","10"," 0"," 5"
"44","2016-03-03"," 7"," 6"," 0"," 7"
"45","2016-03-04"," 6"," 8"," 0"," 2"
"46","2016-03-07"," 8"," 8"," 0"," 7"
"47","2016-03-08"," 8"," 6"," 0"," 7"
"48","2016-03-09"," 9"," 9"," 0"," 6"
"49","2016-03-10"," 8"," 6"," 0"," 5"
"50","2016-03-11"," 8","11"," 0"," 5"
"51","2016-03-14"," 7"," 6"," 0"," 5"
"52","2016-03-15"," 9"," 8"," 0"," 7"
"53","2016-03-16"," 8"," 8"," 0"," 4"
"54","2016-03-17"," 5"," 6"," 0"," 6"
"55","2016-03-18"," 4"," 5"," 0"," 9"
"56","2016-03-21"," 4"," 5"," 0"," 5"
"57","2016-03-22"," 5"," 8"," 0"," 6"
"58","2016-03-23"," 0"," 7"," 0"," 8"
"59","2016-03-29"," 4"," 8"," 0"," 8"
"60","2016-03-30"," 6"," 9"," 0"," 4"
"61","2016-03-31"," 7","10"," 0"," 5"
"62","2016-04-01"," 5"," 8"," 0"," 7"
"63","2016-04-04"," 5"," 8"," 0"," 4"
"64","2016-04-05"," 9"," 8"," 0"," 5"
"65","2016-04-06"," 7"," 8"," 0"," 6"
"66","2016-04-07"," 6"," 4"," 0"," 6"
"67","2016-04-08"," 7"," 7"," 0"," 5"
"68","2016-04-11"," 8"," 6"," 0"," 6"
"69","2016-04-12"," 7"," 8"," 0"," 6"
"70","2016-04-13"," 7"," 5"," 0"," 5"
"71","2016-04-14"," 7"," 7"," 0"," 5"
"72","2016-04-18"," 8"," 9"," 0"," 5"
"73","2016-04-19"," 9"," 7"," 0"," 7"
"74","2016-04-20"," 7"," 8"," 0"," 5"
"75","2016-04-21"," 5"," 7"," 0"," 7"
"76","2016-04-25"," 5"," 7"," 0"," 6"
"77","2016-04-26"," 8"," 9"," 0"," 7"
"78","2016-04-27"," 8"," 9"," 0"," 5"
"79","2016-04-28"," 8"," 6"," 0"," 7"
"80","2016-04-29"," 6"," 6"," 0"," 6"
"81","2016-05-02"," 4"," 7"," 0"," 8"
"82","2016-05-03"," 7"," 8"," 0"," 9"
"83","2016-05-04"," 7","10"," 0"," 4"
"84","2016-05-06"," 5"," 6"," 0"," 7"
"85","2016-05-09","10"," 6"," 0"," 7"
"86","2016-05-10"," 8"," 7"," 0"," 5"
"87","2016-05-11"," 6"," 1"," 0"," 6"
"88","2016-05-12"," 6"," 8"," 0"," 7"
"89","2016-05-13"," 7"," 7"," 0"," 7"
"90","2016-05-17"," 6"," 7"," 0"," 8"
"91","2016-05-18"," 7","10"," 0"," 8"
"92","2016-05-19"," 6"," 7"," 0"," 8"
"93","2016-05-20"," 6"," 8"," 0"," 7"
"94","2016-05-23","10"," 7"," 0"," 6"
"95","2016-05-24","10"," 8"," 0"," 8"
"96","2016-05-25"," 9"," 6"," 0"," 7"
"97","2016-05-26"," 8"," 7"," 0"," 5"
"98","2016-05-27"," 8"," 9"," 0"," 8"
"99","2016-05-30"," 9"," 8"," 0"," 5"
"100","2016-05-31"," 9"," 6"," 0"," 8"
"101","2016-06-01"," 8"," 7"," 0"," 6"
"102","2016-06-02"," 7"," 5"," 0"," 5"
"103","2016-06-03"," 9"," 6"," 0"," 1"
"104","2016-06-06"," 7"," 9"," 0"," 8"
"105","2016-06-07"," 5"," 9"," 0"," 8"
"106","2016-06-08"," 5"," 8"," 0"," 6"
"107","2016-06-09"," 7"," 9"," 0"," 6"
"108","2016-06-10"," 7"," 5"," 0"," 6"
"109","2016-06-13"," 7"," 8"," 0"," 6"
"110","2016-06-14"," 4"," 6"," 0"," 7"
"111","2016-06-15"," 6"," 8"," 0"," 7"
"112","2016-06-16"," 4"," 8"," 0"," 8"
"113","2016-06-17"," 7"," 4"," 0"," 5"
"114","2016-06-20"," 6"," 8"," 0"," 6"
"115","2016-06-21"," 9"," 8"," 0"," 8"
"116","2016-06-22"," 5"," 4"," 0"," 6"
"117","2016-06-23"," 8"," 6"," 0"," 7"
"118","2016-06-24"," 7"," 5"," 0"," 6"
"119","2016-06-27"," 8"," 7"," 0"," 5"
"120","2016-06-28"," 7"," 5"," 0"," 8"
"121","2016-06-29"," 4"," 4"," 0"," 6"
"122","2016-06-30"," 8"," 3"," 0"," 6"
"123","2016-07-01"," 1"," 8"," 0"," 6"
"124","2016-07-04"," 8"," 9"," 0"," 5"
"125","2016-07-05"," 6"," 6"," 0"," 3"
"126","2016-07-06"," 6"," 9"," 0"," 6"
"127","2016-07-07"," 5"," 7"," 0"," 5"
"128","2016-07-08"," 6"," 6"," 0"," 6"
"129","2016-07-11"," 7"," 5"," 0"," 6"
"130","2016-07-12"," 6"," 8"," 0"," 8"
"131","2016-07-13"," 6"," 8"," 0"," 7"
"132","2016-07-14"," 6"," 6"," 0"," 5"
"133","2016-07-15"," 5"," 6"," 0"," 6"
"134","2016-07-18"," 4"," 7"," 0"," 7"
"135","2016-07-19"," 7"," 7"," 0"," 4"
"136","2016-07-20"," 8"," 7"," 0"," 5"
"137","2016-07-21"," 5"," 4"," 0"," 7"
"138","2016-07-22"," 6"," 6"," 0"," 7"
"139","2016-07-25"," 7"," 5"," 0"," 5"
"140","2016-07-26"," 8"," 7"," 0"," 7"
"141","2016-07-27"," 6"," 8"," 0"," 4"
"142","2016-07-28"," 5"," 6"," 0"," 6"
"143","2016-07-29"," 6"," 6"," 0"," 6"
"144","2016-08-01"," 8"," 8"," 0"," 7"
"145","2016-08-02"," 6"," 6"," 0"," 6"
"146","2016-08-03"," 4"," 5"," 0"," 6"
"147","2016-08-04"," 9"," 5"," 0"," 3"
"148","2016-08-05"," 7"," 7"," 0"," 6"
"149","2016-08-08"," 5"," 6"," 4"," 5"
"150","2016-08-09"," 2"," 6"," 2"," 7"
"151","2016-08-10"," 8"," 1"," 1"," 4"
"152","2016-08-11"," 5"," 6"," 0"," 7"
"153","2016-08-12"," 7"," 7"," 4"," 7"
"154","2016-08-15"," 6"," 6"," 0"," 8"
"155","2016-08-16"," 6"," 9"," 0"," 6"
"156","2016-08-17"," 7","10"," 4"," 4"
"157","2016-08-18"," 8"," 7"," 2"," 5"
"158","2016-08-19"," 9"," 6"," 1"," 7"
"159","2016-08-22"," 8"," 8"," 0"," 5"
"160","2016-08-23"," 9"," 7"," 8"," 8"
"161","2016-08-24"," 8"," 5"," 2"," 7"
"162","2016-08-25"," 5"," 9"," 1"," 7"
"163","2016-08-26"," 7"," 7"," 4"," 6"
"164","2016-08-29"," 7"," 6"," 6"," 6"
"165","2016-08-30"," 9"," 9"," 7"," 7"
"166","2016-08-31"," 7","10"," 5"," 5"
"167","2016-09-01"," 7"," 6"," 5"," 7"
"168","2016-09-02"," 7"," 8"," 4"," 5"
"169","2016-09-05","10"," 9"," 2"," 5"
"170","2016-09-06"," 9"," 7"," 8"," 8"
"171","2016-09-07"," 7"," 5"," 8"," 6"
"172","2016-09-08"," 5"," 6"," 3"," 7"
"173","2016-09-09"," 9"," 8"," 6"," 6"
"174","2016-09-12"," 5","10"," 3"," 5"
"175","2016-09-13"," 6"," 7"," 6"," 7"
"176","2016-09-14"," 8"," 7"," 6"," 6"
"177","2016-09-15"," 9"," 5"," 1"," 7"
