"","Koder_samlet","SKS1","SKS1_til","SKS2","SKS2_til","SKS3","SKS3_til","SKS4","SKS4_til","SKS5","SKS5_til","SKS6","SKS6_til","Tid_i_min"
"510","UXME10_UXZ12/UXME20_UXZ12/UXME30_UXZ12/UXME50_UXZ12/UXMG25_TUL2/UXMG25_UXZ11","MR-skanning af columna cervicalis","både med og uden i.v. kontrast","MR-skanning af columna thoracalis","både med og uden i.v. kontrast","MR-skanning af columna lumbalis","både med og uden i.v. kontrast","MR-skanning af os sacrum","både med og uden i.v. kontrast","MR-skanning af knæ","venstresidig","MR-skanning af knæ","uden i.v. kontrast","0"
"565","UXMF20_TUL1/UXMF20_UXZ12/UXMF25_TUL1/UXMF25_UXZ12/UXMF30_TUL1/UXMF30_UXZ12","MR-skanning af overarm","højresidig","MR-skanning af overarm","både med og uden i.v. kontrast","MR-skanning af albue","højresidig","MR-skanning af albue","både med og uden i.v. kontrast","MR-skanning af underarm","højresidig","MR-skanning af underarm","både med og uden i.v. kontrast","0"
"374","NAAC_NA/UXMA00_UXZ11/UXME10_UXZ11/UXME20_UXZ11/UXME30_UXZ11/UXME50_UXZ11","Generel anæstesi",NA,"MR-skanning af cerebrum","uden i.v. kontrast","MR-skanning af columna cervicalis","uden i.v. kontrast","MR-skanning af columna thoracalis","uden i.v. kontrast","MR-skanning af columna lumbalis","uden i.v. kontrast","MR-skanning af os sacrum","uden i.v. kontrast","0"
"17","UXMA00_UXZ11/UXME10_UXZ11/UXME20_UXZ11/UXME30_UXZ11/UXME50_UXZ11","MR-skanning af cerebrum","uden i.v. kontrast","MR-skanning af columna cervicalis","uden i.v. kontrast","MR-skanning af columna thoracalis","uden i.v. kontrast","MR-skanning af columna lumbalis","uden i.v. kontrast","MR-skanning af os sacrum","uden i.v. kontrast",NA,NA,"0"
"57","UXMA00_UXZ12/UXME10_UXZ12/UXME20_UXZ12/UXME30_UXZ12/UXME50_UXZ12","MR-skanning af cerebrum","både med og uden i.v. kontrast","MR-skanning af columna cervicalis","både med og uden i.v. kontrast","MR-skanning af columna thoracalis","både med og uden i.v. kontrast","MR-skanning af columna lumbalis","både med og uden i.v. kontrast","MR-skanning af os sacrum","både med og uden i.v. kontrast",NA,NA,"0"
"238","UXMA00_UXZ10/UXME10_UXZ10/UXME20_UXZ10/UXME30_UXZ10/UXME50_UXZ10","MR-skanning af cerebrum","med i.v. kontrast","MR-skanning af columna cervicalis","med i.v. kontrast","MR-skanning af columna thoracalis","med i.v. kontrast","MR-skanning af columna lumbalis","med i.v. kontrast","MR-skanning af os sacrum","med i.v. kontrast",NA,NA,"0"
"556","UXMF10_TUL2/UXMF10_UXZ11/UXMF40_TUL1/UXMF40_TUL2/UXMF40_UXZ11","MR-skanning af skulder","venstresidig","MR-skanning af skulder","uden i.v. kontrast","MR-skanning af håndled","højresidig","MR-skanning af håndled","venstresidig","MR-skanning af håndled","uden i.v. kontrast",NA,NA,"0"
"442","UXMC00_UXZ11/UXMD22_UXZ11/UXMG20_TUL1/UXMG20_UXZ11","MR-skanning af thorax","uden i.v. kontrast","MR-skanning af abdominalvæg","uden i.v. kontrast","MR-skanning af femur","højresidig","MR-skanning af femur","uden i.v. kontrast",NA,NA,NA,NA,"0"
"560","UXMF10_TUL2/UXMF10_UXZ11/UXMF40_TUL2/UXMF40_UXZ11","MR-skanning af skulder","venstresidig","MR-skanning af skulder","uden i.v. kontrast","MR-skanning af håndled","venstresidig","MR-skanning af håndled","uden i.v. kontrast",NA,NA,NA,NA,"0"
"577","UXMF40_TUL1/UXMF40_TUL2/UXMF40_UXZ10/UXMF40_UXZ12","MR-skanning af håndled","højresidig","MR-skanning af håndled","venstresidig","MR-skanning af håndled","med i.v. kontrast","MR-skanning af håndled","både med og uden i.v. kontrast",NA,NA,NA,NA,"0"
"583","UXMF45_TUL1/UXMF45_UXZ11/UXMG25_TUL1/UXMG25_UXZ11","MR-skanning af os scaphoideum","højresidig","MR-skanning af os scaphoideum","uden i.v. kontrast","MR-skanning af knæ","højresidig","MR-skanning af knæ","uden i.v. kontrast",NA,NA,NA,NA,"0"
"593","UXMG15_TUL1/UXMG15_UXZ11/UXMG25_TUL2/UXMG25_UXZ11","MR-skanning af hofteled","højresidig","MR-skanning af hofteled","uden i.v. kontrast","MR-skanning af knæ","venstresidig","MR-skanning af knæ","uden i.v. kontrast",NA,NA,NA,NA,"0"
"597","UXMG15_TUL2/UXMG15_UXZ11/UXMG25_TUL2/UXMG25_UXZ11","MR-skanning af hofteled","venstresidig","MR-skanning af hofteled","uden i.v. kontrast","MR-skanning af knæ","venstresidig","MR-skanning af knæ","uden i.v. kontrast",NA,NA,NA,NA,"0"
"601","UXMG20_TUL1/UXMG20_UXZ11/UXMG25_TUL1/UXMG25_UXZ11","MR-skanning af femur","højresidig","MR-skanning af femur","uden i.v. kontrast","MR-skanning af knæ","højresidig","MR-skanning af knæ","uden i.v. kontrast",NA,NA,NA,NA,"0"
"609","UXMG25_TUL2/UXMG25_UXZ11/UXMG40_TUL2/UXMG40_UXZ11","MR-skanning af knæ","venstresidig","MR-skanning af knæ","uden i.v. kontrast","MR-skanning af fodled","venstresidig","MR-skanning af fodled","uden i.v. kontrast",NA,NA,NA,NA,"0"
"617","UXMG40_TUL1/UXMG40_UXZ11/UXMG50_TUL2/UXMG50_UXZ11","MR-skanning af fodled","højresidig","MR-skanning af fodled","uden i.v. kontrast","MR-skanning af fod og tæer","venstresidig","MR-skanning af fod og tæer","uden i.v. kontrast",NA,NA,NA,NA,"0"
"112","UXMG25_TUL1/UXMG25_TUL2/UXMG25_UXZ11","MR-skanning af knæ","højresidig","MR-skanning af knæ","venstresidig","MR-skanning af knæ","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"154","UXMG15_TUL1/UXMG15_TUL2/UXMG15_UXZ11","MR-skanning af hofteled","højresidig","MR-skanning af hofteled","venstresidig","MR-skanning af hofteled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"220","UXMG20_TUL1/UXMG20_TUL2/UXMG20_UXZ11","MR-skanning af femur","højresidig","MR-skanning af femur","venstresidig","MR-skanning af femur","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"226","UXMF10_TUL1/UXMF10_TUL2/UXMF10_UXZ11","MR-skanning af skulder","højresidig","MR-skanning af skulder","venstresidig","MR-skanning af skulder","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"228","UXMG50_TUL1/UXMG50_TUL2/UXMG50_UXZ11","MR-skanning af fod og tæer","højresidig","MR-skanning af fod og tæer","venstresidig","MR-skanning af fod og tæer","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"320","UXME10_UXZ11/UXMF10_TUL1/UXMF10_UXZ11","MR-skanning af columna cervicalis","uden i.v. kontrast","MR-skanning af skulder","højresidig","MR-skanning af skulder","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"342","UXMG30_TUL1/UXMG30_TUL2/UXMG30_UXZ11","MR-skanning af crus","højresidig","MR-skanning af crus","venstresidig","MR-skanning af crus","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"344","UXMG40_TUL1/UXMG40_TUL2/UXMG40_UXZ11","MR-skanning af fodled","højresidig","MR-skanning af fodled","venstresidig","MR-skanning af fodled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
