"","date","XR1","XR2","XR4","XT2","XT3","XT4","XT5"
"1","2016-01-01"," 0"," 0"," 0"," 0","18"," 2"," 0"
"2","2016-01-04","18","22","16","22","28","17"," 9"
"3","2016-01-05","26","28","26","32","31","14","11"
"4","2016-01-06","41","29","23","25","29","19","13"
"5","2016-01-07","20","22","13"," 9","30","30","12"
"6","2016-01-08"," 5","23","20","28","36","12"," 8"
"7","2016-01-11","21","21","17","27","32","20","13"
"8","2016-01-12","18","29","11","29","36","17"," 9"
"9","2016-01-13","42","24","18","30","27","16","17"
"10","2016-01-14","15","17","18","27","33","23","10"
"11","2016-01-15","14","26","24","30","12"," 0","15"
"12","2016-01-18","15","22","15","28","34","16"," 8"
"13","2016-01-19","21","18","23","29","24","18","13"
"14","2016-01-20","38","19","28","25","30","22","14"
"15","2016-01-21","23","14","22","16","33","16","14"
"16","2016-01-22"," 5","19","16","31","32","12","15"
"17","2016-01-25","21","23","18","33","40","18"," 7"
"18","2016-01-26","21","24","12","22","32","16","16"
"19","2016-01-27","36","20","24","32","36","20","10"
"20","2016-01-28","17","21","20","20","31","14","14"
"21","2016-01-29","21","15","18","28","22","17"," 4"
"22","2016-02-01","26","29"," 4","32","24","27"," 4"
"23","2016-02-02","23","24","21","29","25","20"," 9"
"24","2016-02-03","40","23","23","27","33","22","11"
"25","2016-02-04","20","24","16","25","30","28"," 5"
"26","2016-02-05","10","18","17","27","14","19"," 5"
"27","2016-02-08","24","20","17","28","32","18"," 6"
"28","2016-02-09","15","19","22","27","29","15","19"
"29","2016-02-10","21","25","20","22","23","19","10"
"30","2016-02-11","16","22","17"," 9","36","18","24"
"31","2016-02-12","16","24","19","31","30","17"," 8"
"32","2016-02-15","14","11"," 8","19","43","19"," 9"
"33","2016-02-16","10","24","20","19","32","12"," 0"
"34","2016-02-17"," 5","20","10","21","32"," 9","12"
"35","2016-02-18","21","15"," 7","25","13","13"," 9"
"36","2016-02-19"," 5","17","14"," 0","24","10","11"
"37","2016-02-22","16","16","12","32","27","16","10"
"38","2016-02-23","12","13","14","31","24","25"," 3"
"39","2016-02-24","32","19","14","28","38","18"," 9"
"40","2016-02-25","10","16","15","19","30","16","13"
"41","2016-02-26"," 8","22","16","25","23","12"," 8"
"42","2016-02-29","28","16","18","27","32","22","13"
"43","2016-03-01","24","24","15","32","29","19","10"
"44","2016-03-02","41","15","21","26","37","16","12"
"45","2016-03-03","26","15","12","29","41","10","13"
"46","2016-03-04","11","11","17","22","37"," 4","19"
"47","2016-03-07","28","24","14","23","40","16","14"
"48","2016-03-08","18","20","24","42","39","24","15"
"49","2016-03-09","41","15","18","20","34","20","19"
"50","2016-03-10","12","14","32","33","39","18","16"
"51","2016-03-11","18","14","15","28","28","14","14"
"52","2016-03-14","25","20","23","20","45","20","12"
"53","2016-03-15","20","29","23","20","37","21","16"
"54","2016-03-16","32","28","13","26","40","18"," 8"
"55","2016-03-17","27","22","15","30","43","17","13"
"56","2016-03-18","17","24","18","18","26","13"," 8"
"57","2016-03-21","11","11","13","27","35","15"," 6"
"58","2016-03-22"," 4","20","12","19","34","19"," 7"
"59","2016-03-23"," 4","12","13","27","30","12"," 4"
"60","2016-03-24"," 0"," 0"," 0"," 4","14"," 3"," 0"
"61","2016-03-25"," 0"," 0"," 0"," 8","14"," 3"," 1"
"62","2016-03-28"," 0"," 0"," 0","10"," 8"," 2"," 0"
"63","2016-03-29","30","20","19","30","38","14","11"
"64","2016-03-30","30","31","19","32","33","15","13"
"65","2016-03-31"," 2","29","19","29","38","20","13"
"66","2016-04-01"," 8","13","14","33","25","19"," 7"
"67","2016-04-04","16","18","15","28","24","16","13"
"68","2016-04-05","23","15","15","21","26","16","14"
"69","2016-04-06","26","23","19","32","36","13","13"
"70","2016-04-07","24","22","24","24","34","11","19"
"71","2016-04-08","19","17","22","24","24","16","12"
"72","2016-04-11","13","30","14","27","36","12","15"
"73","2016-04-12","23","19","24","20","33","21","10"
"74","2016-04-13","31","21","19","35","21","23"," 6"
"75","2016-04-14","23","18","16","32","29","15","14"
"76","2016-04-15"," 0"," 0"," 0","22"," 9"," 8"," 0"
"77","2016-04-18","22","16","21","27","28","11","11"
"78","2016-04-19","18","25","19","32","31","16","13"
"79","2016-04-20","30","27","15","24","36","24"," 3"
"80","2016-04-21","15","18","19","27","39","19","13"
"81","2016-04-22"," 0"," 0"," 0","18"," 9"," 3"," 0"
"82","2016-04-25","24","24","17","36","32","15","10"
"83","2016-04-26","10","31","15","36","34","17"," 9"
"84","2016-04-27","34","18","22","30","37","20"," 5"
"85","2016-04-28","18","16","22","19","27","16","12"
"86","2016-04-29","11","25","11","24","20","13","12"
"87","2016-05-02","21","12","19","31","36","15","10"
"88","2016-05-03","17","25","19","23","29","21","13"
"89","2016-05-04","37","24","17","32","36","14","23"
"90","2016-05-05"," 0"," 0"," 0","16","14"," 4"," 0"
"91","2016-05-06","15","24"," 8","37","16"," 8","16"
"92","2016-05-09","21","24","14","31","34","18"," 6"
"93","2016-05-10","29","20","17","25","34","13","19"
"94","2016-05-11","48","18","21","40","38","21","16"
"95","2016-05-12","19","23","17","29","42","15","10"
"96","2016-05-13","19","22","17","23","21","25"," 9"
"97","2016-05-16"," 0"," 0"," 0","20","10"," 0"," 0"
"98","2016-05-17","14","28","27","42","25","18","20"
"99","2016-05-18","12","25","29","43","35","21","18"
"100","2016-05-19","16","25","22","30","38","19","16"
"101","2016-05-20","15","19","21","36","28","18","10"
"102","2016-05-23","15","24","16","42","31","21"," 9"
"103","2016-05-24","16","30","22","37","36","29","13"
"104","2016-05-25","36","20","22","43","36","17","13"
"105","2016-05-26","22","17","24","30","28","23"," 7"
"106","2016-05-27"," 4","23","17","25","38","19"," 5"
"107","2016-05-30","26","13","12","37","45","20","13"
"108","2016-05-31","22","21","20","37","42","21","20"
"109","2016-06-01","18","16","26","33","49","21","18"
"110","2016-06-02","22","15","12"," 0","37","31","21"
"111","2016-06-03","17","29","11","21","21","11","17"
"112","2016-06-06","20","24","20","30","35","30","17"
"113","2016-06-07","18","23","25","30","34","19","15"
"114","2016-06-08","31","28","17","37","36","33","12"
"115","2016-06-09","23","17","25","38","32","14","16"
"116","2016-06-10","14","21","17","30","25","11"," 5"
"117","2016-06-13","27","16","19","22","33","20","13"
"118","2016-06-14","14","23","34","39","32","27","14"
"119","2016-06-15","31","32","13","24","25","14","16"
"120","2016-06-16","12","23","19","33","40","18","17"
"121","2016-06-17","12","16","22","34","26","16"," 7"
"122","2016-06-20","12","19","17","18","34","19","12"
"123","2016-06-21","23","18","19","33","37","28"," 9"
"124","2016-06-22","38","20","14","29","36","19","15"
