"SKS","Antal i Åbningstid","2018_2019"
"UXRC00","11847","24688"
"UXRF50"," 3685"," 6968"
"UXRG50"," 3631"," 6139"
"UXRG40"," 3606"," 6374"
"UXRG25"," 3506"," 4716"
"UXRF40"," 3330"," 5669"
"UXRG10/UXRG15"," 2683"," 3497"
"UXRG15"," 2670"," 4186"
"UXRF15"," 2373"," 4056"
"UXRF25"," 1693"," 3243"
"UXRG30"," 1230"," 2025"
"UXRG10"," 1063"," 2301"
"UXRG40/UXRG50"," 1043"," 1150"
"UXRG25/UXRG27"," 1028"," 1709"
"UXRF30","  867"," 1823"
"UXRG10/UXRG15/UXRG15","  781","  885"
"UXRG25/UXRG25","  746","  793"
"UXRE20/UXRE30","  667"," 1033"
"UXRG50/UXRG50","  667","  704"
"UXRC20","  633"," 1282"
"UXRE30","  595","  953"
"UXRE70","  591","  602"
"UXRF20","  565"," 1073"
"UXRF45","  529","  539"
"UXRG20","  463","  861"
"UXRF40/UXRF45","  421","  943"
"UXRG25/UXRG25/UXRG27/UXRG27","  379","  398"
"UXRG40/UXRG40/UXRG50/UXRG50","  310","  315"
"UXRF40/UXRG50","  271","  274"
"UXRF50/UXRF50","  232","  247"
"UXRG15/UXRG15","  193","  210"
"UXRE10","  186","  261"
"UXRG45","  167","  282"
"UXRE20","  134","  246"
"UXRG60/UXRG60","  124","  132"
"UXRF12","  120","  280"
"UXRG40/UXRG40","  114","  133"
"UXRF40/UXRF40","  108","  114"
"UXRF40/UXRF50","  104","  158"
"UXRD15","  102","  405"
"UXRD00","  100","  338"
"UXRG27","   75","  113"
"UXRE10/UXRE20/UXRE30","   71","   91"
"UXRG30/UXRG40","   66","   92"
"UXRF15/UXRF15","   63","   75"
"UXRF12/UXRF15","   58","   71"
"UXRG45/UXRG50","   53","   54"
"UXRG10/UXRG15/UXRG25","   50","   55"
"UXRF30/UXRF40","   45","   63"
"UXRF40/UXRF45/UXRF50","   44","   57"
"UXRF12/UXRF12","   42","   68"
"UXRC20/UXRF15","   39","   68"
"UXRF25/UXRF40","   38","   56"
"UXRF10","   37","  105"
"UXRG15/UXRG20","   37","   43"
"UXRF25/UXRF25","   32","   84"
"UXRG45/UXRG45","   31","   36"
"UXRG47","   31","   45"
"UXRC00/UXRD00","   29","   92"
"UXRF50/UXRF50/UXRG50/UXRG50","   29","   30"
"UXRG27/UXRG27","   27","   29"
"UXRF25/UXRF30","   26","   45"
"UXRG30/UXRG30","   26","   36"
"UXRF15/UXRF20","   25","   41"
"UXRF30/UXRF30","   25","   26"
"UXRG45/UXRG45/UXRG50/UXRG50","   24","   24"
"UXRF15/UXRF25","   21","   29"
"UXRG25/UXRG30","   21","   24"
"UXRG10/UXRG15/UXRG15/UXRG25/UXRG25","   20","   20"
"UXRC00/UXRG15","   19","   23"
"UXRF40/UXRF40/UXRF50/UXRF50","   19","   19"
"UXRG25/UXRG40","   19","   22"
"UXRE70/UXRG10","   18","   18"
"UXRE30/UXRG10","   17","   20"
"UXRG15/UXRG25","   17","   22"
"UXRG20/UXRG30","   17","   21"
"UXRE70/UXRF50","   16","   16"
"UXRF12/UXRF12/UXRF15","   15","   17"
"UXRF15/UXRF40","   14","   17"
"UXRG10/UXRG15/UXRG20","   14","   37"
"UXRG30/UXRG50","   14","   22"
"UXRG60","   14","   19"
"UXRE50","   13","   37"
"UXRG20/UXRG20","   13","   15"
"UXRG30/UXRG40/UXRG50","   13","   15"
"UXRE30/UXRG10/UXRG15/UXRG15","   12","   13"
"UXRG20/UXRG25","   12","   14"
"UXRC00/UXRE20/UXRE30","   11","   21"
"UXRE30/UXRG10/UXRG15","   11","   15"
"UXRF20/UXRF25","   11","   24"
"UXRG10/UXRG15/UXRG25/UXRG27","   11","   13"
"UXRF40/UXRG40","   10","   13"
"UXRG10/UXRG20","   10","   15"
"UXRG25/UXRG25/UXRG27","   10","   13"
"UXRA20","    9","   10"
"UXRC20/UXRC20","    9","   26"
"UXRE10/UXRE20","    9","   12"
"UXRF12/UXRF12/UXRF15/UXRF15","    9","    9"
"UXRF15/UXRG25","    9","   10"
"UXRG10/UXRG15/UXRG15/UXRG25/UXRG25/UXRG27/UXRG27","    9","    9"
"UXRG10/UXRG15/UXRG25/UXRG25","    9","   10"
"UXRG40/UXRG45","    9","   12"
"UXRC00/UXRF15","    8","   14"
"UXRF30/UXRF40/UXRF45","    8","    9"
"UXRG10/UXRG25/UXRG25","    8","    8"
