"","Koder_samlet","SKS1","SKS1_til","SKS10","SKS10_til","SKS11","SKS11_til","SKS12","SKS12_til","SKS13","SKS13_til","SKS2","SKS2_til","SKS3","SKS3_til","SKS4","SKS4_til","SKS5","SKS5_til","SKS6","SKS6_til","SKS7","SKS7_til","SKS8","SKS8_til","SKS9","SKS9_til","Tid_i_min"
"331","UXRA05_NA/UXRC00_NA/UXRE10_NA/UXRE20_NA/UXRE30_NA/UXRF20_TUL1/UXRF20_TUL2/UXRF30_TUL1/UXRF30_TUL2/UXRG10_NA/UXRG20_TUL1/UXRG20_TUL2/UXRG30_TUL1","Røntgenundersøgelse af kranie",NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af femur","højresidig","Røntgenundersøgelse af femur","venstresidig","Røntgenundersøgelse af crus","højresidig","Røntgenundersøgelse af thorax",NA,"Røntgenundersøgelse af columna cervicalis",NA,"Røntgenundersøgelse af columna thoracalis",NA,"Røntgenundersøgelse af columna lumbalis",NA,"Røntgenundersøgelse af overarm","højresidig","Røntgenundersøgelse af overarm","venstresidig","Røntgenundersøgelse af underarm","højresidig","Røntgenundersøgelse af underarm","venstresidig","0"
"406","UXRE20_NA/UXRE30_NA/UXRE60_TUL1/UXRE60_TUL2/UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG25_TUL1/UXRG25_TUL2/UXRG60_TUL1/UXRG60_TUL2","Røntgenundersøgelse af columna thoracalis",NA,"Røntgenundersøgelse på lang film af underekstremiteten","højresidig","Røntgenundersøgelse på lang film af underekstremiteten","venstresidig",NA,NA,NA,NA,"Røntgenundersøgelse af columna lumbalis",NA,"Røntgenundersøgelse af sakroiliakaled","højresidig","Røntgenundersøgelse af sakroiliakaled","venstresidig","Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig","0"
"510","UXRF15_TUL2/UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG25_TUL1/UXRG25_TUL2/UXRG40_TUL1/UXRG40_TUL2/UXRG40_UXZ21/UXRG50_TUL2","Røntgenundersøgelse af skulder","venstresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig","Røntgenundersøgelse af fodled","højresidig","Røntgenundersøgelse af fodled","venstresidig","Røntgenundersøgelse af fodled","med udmåling på billeder","0"
"594","UXRF50_TUL1/UXRF50_TUL2/UXRG15_TUL1/UXRG15_TUL2/UXRG25_TUL1/UXRG25_TUL2/UXRG40_TUL1/UXRG40_TUL2","Røntgenundersøgelse af hånd og fingre","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig","Røntgenundersøgelse af fodled","højresidig","Røntgenundersøgelse af fodled","venstresidig",NA,NA,"0"
"121","UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG25_TUL1/UXRG25_TUL2/UXRG27_TUL1/UXRG27_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,"0"
"285","UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG25_TUL1/UXRG25_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,"0"
"475","UXRF15_TUL1/UXRF15_TUL2/UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af skulder","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af skulder","venstresidig","Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,"0"
"616","UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG25_TUL1/UXRG25_TUL2/UXRG40_TUL1/UXRG40_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig","Røntgenundersøgelse af fodled","højresidig","Røntgenundersøgelse af fodled","venstresidig",NA,NA,NA,NA,"0"
"617","UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG30_TUL1/UXRG30_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af crus","højresidig","Røntgenundersøgelse af crus","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,"0"
"171","UXRF50_TUL1/UXRF50_TUL2/UXRG40_TUL1/UXRG40_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af hånd og fingre","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af fodled","højresidig","Røntgenundersøgelse af fodled","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"178","UXRG40_TUL1/UXRG40_TUL2/UXRG40_UXZ21/UXRG50_TUL1/UXRG50_TUL2/UXRG50_UXZ21","Røntgenundersøgelse af fodled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af fodled","venstresidig","Røntgenundersøgelse af fodled","med udmåling på billeder","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig","Røntgenundersøgelse af fod og tæer","med udmåling på billeder",NA,NA,NA,NA,NA,NA,"0"
"273","UXRF40_TUL1/UXRF40_TUL2/UXRF50_TUL1/UXRF50_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af håndled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af håndled","venstresidig","Røntgenundersøgelse af hånd og fingre","højresidig","Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"274","UXRF40_TUL1/UXRF40_TUL2/UXRG25_TUL1/UXRG25_TUL2/UXRG40_TUL1/UXRG40_TUL2","Røntgenundersøgelse af håndled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af håndled","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig","Røntgenundersøgelse af fodled","højresidig","Røntgenundersøgelse af fodled","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"278","UXRF50_TUL1/UXRF50_TUL2/UXRG25_TUL1/UXRG25_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af hånd og fingre","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"295","UXRG15_TUL1/UXRG15_TUL2/UXRG25_TUL1/UXRG25_TUL2/UXRG27_TUL1/UXRG27_TUL2","Røntgenundersøgelse af hofte","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"394","UXRE10_NA/UXRE20_NA/UXRE30_NA/UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG20_TUL1/UXRG20_TUL2","Røntgenundersøgelse af columna cervicalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af columna thoracalis",NA,"Røntgenundersøgelse af columna lumbalis",NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af femur","højresidig","Røntgenundersøgelse af femur","venstresidig",NA,NA,"0"
"457","UXRE70_NA/UXRG10_NA/UXRG15_TUL2/UXRG25_TUL2/UXRG27_TUL2/UXRG50_TUL1/UXRG50_TUL2","Skolioseoptagelse",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,"0"
"474","UXRF15_TUL1/UXRF15_TUL2/UXRF50_TUL1/UXRF50_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af skulder","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af skulder","venstresidig","Røntgenundersøgelse af hånd og fingre","højresidig","Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"552","UXRF30_TUL2/UXRF40_TUL1/UXRF40_TUL2/UXRF45_TUL2/UXRG25_TUL1/UXRG27_TUL2","Røntgenundersøgelse af underarm","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af håndled","højresidig","Røntgenundersøgelse af håndled","venstresidig","Røntgenundersøgelse af os scaphoideum","venstresidig","Røntgenundersøgelse af knæ","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"560","UXRF40_TUL1/UXRF40_TUL2/UXRF45_TUL1/UXRF45_TUL2/UXRG25_TUL2/UXRG27_TUL2","Røntgenundersøgelse af håndled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af håndled","venstresidig","Røntgenundersøgelse af os scaphoideum","højresidig","Røntgenundersøgelse af os scaphoideum","venstresidig","Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"653","UXRG10_TUL1/UXRG15_TUL1/UXRG25_TUL1/UXRG25_TUL2/UXRG27_TUL1/UXRG27_TUL2","Røntgenundersøgelse af bækken","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"658","UXRG10_TUL2/UXRG15_TUL2/UXRG25_TUL1/UXRG25_TUL2/UXRG27_TUL1/UXRG27_TUL2","Røntgenundersøgelse af bækken","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"663","UXRG15_TUL1/UXRG15_TUL2/UXRG25_TUL1/UXRG25_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af hofte","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"686","UXRG25_TUL1/UXRG25_TUL2/UXRG27_TUL1/UXRG27_TUL2/UXRG40_TUL1/UXRG50_TUL1","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","højresidig","Tangential røntgenundersøgelse af patella","venstresidig","Røntgenundersøgelse af fodled","højresidig","Røntgenundersøgelse af fod og tæer","højresidig",NA,NA,NA,NA,NA,NA,"0"
"687","UXRG25_TUL1/UXRG25_TUL2/UXRG27_TUL1/UXRG27_TUL2/UXRG60_TUL1/UXRG60_TUL2","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","højresidig","Tangential røntgenundersøgelse af patella","venstresidig","Røntgenundersøgelse på lang film af underekstremiteten","højresidig","Røntgenundersøgelse på lang film af underekstremiteten","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"691","UXRG25_TUL1/UXRG25_TUL2/UXRG40_TUL1/UXRG40_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","venstresidig","Røntgenundersøgelse af fodled","højresidig","Røntgenundersøgelse af fodled","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"714","UXRG40_TUL1/UXRG40_TUL2/UXRG50_TUL1/UXRG50_TUL2/UXRG60_TUL1/UXRG60_TUL2","Røntgenundersøgelse af fodled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af fodled","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig","Røntgenundersøgelse på lang film af underekstremiteten","højresidig","Røntgenundersøgelse på lang film af underekstremiteten","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"288","UXRG10_NA/UXRG15_TUL1/UXRG25_TUL1/UXRG25_TUL2/UXRG27_TUL1/UXRG27_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"385","UXRC20_TUL2/UXRF40_TUL2/UXRF50_TUL2/UXRG27_TUL2/UXRG40_TUL1","Røntgenundersøgelse af clavicula","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af håndled","venstresidig","Røntgenundersøgelse af hånd og fingre","venstresidig","Tangential røntgenundersøgelse af patella","venstresidig","Røntgenundersøgelse af fodled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"411","UXRE20_NA/UXRE30_NA/UXRF50_TUL1/UXRF50_TUL2/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af columna thoracalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af columna lumbalis",NA,"Røntgenundersøgelse af hånd og fingre","højresidig","Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"440","UXRE30_NA/UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af columna lumbalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,"0"
"498","UXRF15_TUL2/UXRF20_TUL2/UXRF25_TUL2/UXRF30_TUL2/UXRF40_TUL2","Røntgenundersøgelse af skulder","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af overarm","venstresidig","Røntgenundersøgelse af albue","venstresidig","Røntgenundersøgelse af underarm","venstresidig","Røntgenundersøgelse af håndled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"508","UXRF15_TUL2/UXRF50_TUL1/UXRF50_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af skulder","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hånd og fingre","højresidig","Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"555","UXRF30_TUL2/UXRF40_TUL2/UXRF50_TUL2/UXRG25_TUL2/UXRG27_TUL2","Røntgenundersøgelse af underarm","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af håndled","venstresidig","Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"561","UXRF40_TUL1/UXRF40_TUL2/UXRF50_TUL1/UXRF50_TUL2/UXRG25_TUL1","Røntgenundersøgelse af håndled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af håndled","venstresidig","Røntgenundersøgelse af hånd og fingre","højresidig","Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"562","UXRF40_TUL1/UXRF40_TUL2/UXRF50_TUL1/UXRF50_TUL2/UXRG50_TUL1","Røntgenundersøgelse af håndled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af håndled","venstresidig","Røntgenundersøgelse af hånd og fingre","højresidig","Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"654","UXRG10_TUL1/UXRG15_TUL1/UXRG25_TUL1/UXRG25_TUL2/UXRG27_TUL2","Røntgenundersøgelse af bækken","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"677","UXRG15_TUL2/UXRG25_TUL1/UXRG25_TUL2/UXRG27_TUL1/UXRG27_TUL2","Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","højresidig","Tangential røntgenundersøgelse af patella","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"688","UXRG25_TUL1/UXRG25_TUL2/UXRG27_TUL2/UXRG30_TUL1/UXRG30_TUL2","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","venstresidig","Røntgenundersøgelse af crus","højresidig","Røntgenundersøgelse af crus","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"689","UXRG25_TUL1/UXRG25_TUL2/UXRG27_TUL2/UXRG30_TUL1/UXRG40_TUL1","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","venstresidig","Røntgenundersøgelse af crus","højresidig","Røntgenundersøgelse af fodled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"700","UXRG25_TUL1/UXRG40_TUL1/UXRG40_TUL2/UXRG50_TUL1/UXRG50_TUL2","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af fodled","højresidig","Røntgenundersøgelse af fodled","venstresidig","Røntgenundersøgelse af fod og tæer","højresidig","Røntgenundersøgelse af fod og tæer","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
