"","date","UL1","UL2","UL3","UL4","UL5"
"1","2016-01-01"," 0"," 0"," 4"," 2"," 0"
"2","2016-01-04"," 6"," 0"," 6"," 8","13"
"3","2016-01-05"," 5"," 0"," 6"," 7","10"
"4","2016-01-06"," 6"," 0"," 4"," 8","12"
"5","2016-01-07"," 6"," 0"," 4"," 8","11"
"6","2016-01-08"," 7"," 0"," 7","10","12"
"7","2016-01-11"," 7"," 0"," 6","11","12"
"8","2016-01-12"," 7"," 0"," 7"," 7"," 9"
"9","2016-01-13","12"," 0"," 3","12","12"
"10","2016-01-14"," 8"," 0"," 5"," 9"," 9"
"11","2016-01-15"," 6"," 0"," 6","11"," 7"
"12","2016-01-18"," 8"," 0"," 5"," 0"," 9"
"13","2016-01-19"," 6"," 0"," 8"," 6","12"
"14","2016-01-20"," 8"," 0"," 6","10","12"
"15","2016-01-21"," 7"," 0"," 6","10","10"
"16","2016-01-22"," 8"," 0"," 4"," 8","12"
"17","2016-01-25","10"," 0"," 7"," 0","10"
"18","2016-01-26"," 9"," 0"," 6"," 1","12"
"19","2016-01-27"," 9"," 0"," 7"," 0"," 9"
"20","2016-01-28"," 8"," 0"," 5"," 3","10"
"21","2016-01-29"," 9"," 0"," 6"," 8","13"
"22","2016-02-01","13"," 0"," 4"," 4","11"
"23","2016-02-02"," 9"," 0"," 9"," 0","13"
"24","2016-02-03","12"," 0"," 3"," 2"," 9"
"25","2016-02-04","12"," 0","11"," 8","12"
"26","2016-02-05","10"," 0"," 6","12"," 9"
"27","2016-02-08"," 6"," 0"," 6","12","11"
"28","2016-02-09","13"," 0"," 4"," 8"," 9"
"29","2016-02-10","11"," 0"," 6"," 3","11"
"30","2016-02-11","11"," 0"," 6"," 6"," 9"
"31","2016-02-12"," 7"," 0"," 8"," 7","14"
"32","2016-02-15"," 7"," 0"," 5"," 9","10"
"33","2016-02-16"," 8"," 0","11"," 9","10"
"34","2016-02-17","12"," 0"," 9","15","14"
"35","2016-02-18","14"," 0"," 7"," 4","10"
"36","2016-02-19","12"," 0"," 7","10","13"
"37","2016-02-22"," 9"," 0"," 5","10","11"
"38","2016-02-23"," 8"," 0"," 8"," 7"," 9"
"39","2016-02-24","15"," 0"," 6","10","12"
"40","2016-02-25"," 9"," 0"," 8"," 6","10"
"41","2016-02-26","16"," 0"," 9"," 9"," 3"
"42","2016-02-29","10"," 0"," 9"," 8"," 9"
"43","2016-03-01"," 9"," 0"," 6"," 8","12"
"44","2016-03-02","15"," 0"," 9"," 9","12"
"45","2016-03-03"," 8"," 0"," 3"," 8","11"
"46","2016-03-04","12"," 0"," 1"," 7","11"
"47","2016-03-07"," 7"," 0"," 0"," 8","10"
"48","2016-03-08","12"," 0"," 7"," 7","12"
"49","2016-03-09","11"," 0"," 7","11"," 7"
"50","2016-03-10","10"," 0"," 6"," 5","12"
"51","2016-03-11","12"," 0"," 9","10","11"
"52","2016-03-14","17"," 0"," 4"," 6","10"
"53","2016-03-15","16"," 0"," 5","11","11"
"54","2016-03-16"," 5"," 0"," 5"," 2"," 0"
"55","2016-03-17"," 9"," 0"," 7"," 7","10"
"56","2016-03-18","13"," 0","12"," 8","12"
"57","2016-03-21","10"," 0"," 7"," 9","10"
"58","2016-03-22","12"," 0"," 8"," 3"," 8"
"59","2016-03-23","10"," 0"," 7"," 7"," 9"
"60","2016-03-24"," 0"," 0"," 6"," 1"," 0"
"61","2016-03-25"," 0"," 0"," 3"," 1"," 0"
"62","2016-03-28"," 0"," 0"," 4"," 2"," 0"
"63","2016-03-29","12"," 0"," 7"," 9","10"
"64","2016-03-30","13"," 0"," 6"," 8","10"
"65","2016-03-31"," 8"," 0"," 6"," 7"," 9"
"66","2016-04-01"," 9"," 0"," 7"," 7","11"
"67","2016-04-04"," 8"," 0"," 9"," 8"," 6"
"68","2016-04-05","12"," 0"," 7"," 8","11"
"69","2016-04-06","13"," 0"," 6"," 7"," 0"
"70","2016-04-07"," 7"," 0"," 8","11","13"
"71","2016-04-08"," 8"," 0"," 8"," 7","11"
"72","2016-04-11"," 7"," 0"," 3"," 4"," 0"
"73","2016-04-12"," 3"," 0"," 8"," 8","11"
"74","2016-04-13","13"," 0"," 8"," 8","11"
"75","2016-04-14","12"," 0"," 6"," 9","11"
"76","2016-04-15"," 0"," 0"," 7"," 7"," 0"
"77","2016-04-18"," 7"," 0"," 9","10","11"
"78","2016-04-19"," 9"," 0"," 9","10","10"
"79","2016-04-20"," 9"," 0"," 9"," 7","13"
"80","2016-04-21","12"," 0"," 6"," 8"," 9"
"81","2016-04-22"," 0"," 0"," 5"," 1"," 0"
"82","2016-04-25"," 9"," 0"," 9"," 8","12"
"83","2016-04-26","13"," 0"," 6"," 7","10"
"84","2016-04-27"," 9"," 0"," 7"," 7","10"
"85","2016-04-28","15"," 0"," 5"," 7"," 7"
"86","2016-04-29"," 8"," 0"," 6"," 8"," 8"
"87","2016-05-02","10"," 0"," 5","10"," 9"
"88","2016-05-03"," 9"," 0"," 9"," 8","11"
"89","2016-05-04","11"," 0"," 7","10"," 8"
"90","2016-05-05"," 0"," 0"," 3"," 5"," 0"
"91","2016-05-06","10"," 0"," 5"," 6","12"
"92","2016-05-09","14"," 0"," 6","10"," 5"
"93","2016-05-10","10"," 0"," 6"," 9","14"
"94","2016-05-11","15"," 0"," 7","11","11"
"95","2016-05-12","13"," 0"," 6"," 5"," 9"
"96","2016-05-13","10"," 0"," 9"," 7","12"
"97","2016-05-16"," 0"," 0"," 3"," 2"," 0"
"98","2016-05-17","14"," 0","10","10","11"
"99","2016-05-18","16"," 0","11","11","10"
"100","2016-05-19","15"," 0"," 7"," 8"," 9"
"101","2016-05-20","10"," 0"," 8"," 7","11"
"102","2016-05-23","12"," 0"," 8","12","11"
"103","2016-05-24"," 8"," 0","11"," 7","11"
"104","2016-05-25","18"," 0"," 9","10","12"
"105","2016-05-26","13"," 0"," 7"," 4"," 9"
"106","2016-05-27","13"," 0"," 6"," 9","11"
"107","2016-05-30"," 8"," 0"," 7","11","12"
"108","2016-05-31","16"," 0","12"," 6","13"
"109","2016-06-01"," 7"," 0"," 7"," 4"," 5"
"110","2016-06-02","14"," 0"," 7"," 6"," 9"
"111","2016-06-03"," 7"," 0"," 6"," 8","13"
"112","2016-06-06","14"," 0"," 9"," 8","12"
"113","2016-06-07","15"," 0"," 7"," 9"," 9"
"114","2016-06-08","16"," 0"," 6","11"," 6"
"115","2016-06-09","12"," 0","11"," 6"," 8"
"116","2016-06-10","13"," 0"," 8"," 8"," 9"
"117","2016-06-13"," 9"," 0"," 9","11","12"
"118","2016-06-14","15"," 0"," 7","10"," 9"
"119","2016-06-15","10"," 0"," 8","10","13"
"120","2016-06-16","13"," 0"," 6","10","11"
"121","2016-06-17","11"," 0"," 6"," 9"," 9"
"122","2016-06-20","12"," 0"," 7"," 9"," 4"
"123","2016-06-21","11"," 0"," 7","11"," 7"
"124","2016-06-22","15"," 0"," 8","12"," 6"
"125","2016-06-23","12"," 0"," 5"," 7"," 8"
"126","2016-06-24"," 8"," 0"," 7"," 9","12"
"127","2016-06-27","12"," 0"," 8"," 8","12"
"128","2016-06-28","13"," 0","13"," 9","11"
"129","2016-06-29"," 8"," 0"," 9"," 8","13"
"130","2016-06-30","15"," 0"," 7"," 9","11"
"131","2016-07-01","11"," 0"," 7"," 8"," 8"
"132","2016-07-04"," 8"," 0"," 4","10"," 9"
"133","2016-07-05","13"," 0"," 6"," 9","11"
"134","2016-07-06","14"," 0"," 6","10","15"
"135","2016-07-07","11"," 0"," 5"," 9","11"
"136","2016-07-08"," 9"," 0"," 7"," 7"," 2"
"137","2016-07-11"," 7"," 0"," 9"," 9"," 4"
"138","2016-07-12"," 6"," 0"," 8"," 7"," 7"
"139","2016-07-13"," 9"," 0"," 7","10"," 9"
"140","2016-07-14","11"," 0"," 6"," 6"," 5"
"141","2016-07-15"," 5"," 0"," 8","10","11"
"142","2016-07-18"," 8"," 0"," 7","10"," 0"
"143","2016-07-19"," 7"," 0"," 7"," 8","11"
"144","2016-07-20","10"," 0"," 6"," 8","11"
"145","2016-07-21"," 5"," 0"," 9","11"," 9"
"146","2016-07-22"," 3"," 0"," 3"," 7"," 6"
"147","2016-07-25"," 2"," 0"," 6","10"," 9"
"148","2016-07-26"," 6"," 0","10","17","11"
"149","2016-07-27"," 6"," 0"," 7"," 9","12"
"150","2016-07-28"," 2"," 0"," 8"," 9"," 8"
"151","2016-07-29"," 2"," 0"," 6","10","10"
"152","2016-08-01"," 3"," 0"," 6","11"," 5"
"153","2016-08-02"," 3"," 0"," 2"," 8"," 9"
"154","2016-08-03"," 2"," 0"," 6"," 6"," 0"
"155","2016-08-04"," 6"," 0"," 6"," 9","11"
"156","2016-08-05"," 2"," 0"," 6"," 8"," 7"
"157","2016-08-08"," 5"," 0"," 6"," 9"," 0"
"158","2016-08-09"," 4"," 0"," 9"," 8"," 8"
"159","2016-08-10"," 5"," 0"," 8","12","10"
"160","2016-08-11"," 6"," 0"," 8"," 7"," 0"
"161","2016-08-12"," 3"," 0"," 6"," 7"," 0"
"162","2016-08-15"," 2"," 0","11","12"," 9"
"163","2016-08-16"," 5"," 0"," 7"," 8","12"
"164","2016-08-17"," 6"," 0"," 8"," 9"," 9"
"165","2016-08-18"," 2"," 0","10"," 6"," 8"
"166","2016-08-19"," 5"," 0","10","10","10"
"167","2016-08-22"," 3"," 0"," 9","10"," 9"
"168","2016-08-23"," 0"," 0"," 4"," 8"," 9"
"169","2016-08-24"," 6"," 0"," 9"," 7","11"
"170","2016-08-25"," 3"," 0"," 7"," 7"," 0"
"171","2016-08-26"," 1"," 0"," 5","10","11"
"172","2016-08-29"," 7"," 0"," 7"," 9","10"
"173","2016-08-30"," 7"," 0"," 5","10","12"
"174","2016-08-31"," 5"," 3","10"," 9","10"
"175","2016-09-01"," 5"," 5"," 7"," 8","10"
"176","2016-09-02"," 4"," 6"," 7","10"," 9"
"177","2016-09-05"," 6","10"," 8"," 9","11"
"178","2016-09-06"," 2"," 6"," 7"," 7","12"
"179","2016-09-07"," 8"," 7"," 9"," 7","12"
"180","2016-09-08"," 8"," 7"," 7","10"," 7"
"181","2016-09-09"," 6","10"," 6"," 8","14"
"182","2016-09-12","12"," 0","10"," 9","12"
"183","2016-09-13"," 8"," 3","13"," 7","10"
"184","2016-09-14"," 6","10"," 9","11","12"
"185","2016-09-15"," 2"," 8"," 6","10","12"
"186","2016-09-16"," 4"," 7"," 8"," 7","13"
"187","2016-09-19"," 8"," 2"," 8"," 9","11"
"188","2016-09-20"," 6","10","13","11","10"
"189","2016-09-21","11","10","10","11","11"
"190","2016-09-22","11"," 8"," 8"," 9","12"
"191","2016-09-23"," 8"," 6"," 6","11","13"
"192","2016-09-26"," 7","10"," 7"," 8"," 9"
"193","2016-09-27"," 9"," 0"," 8","10","11"
"194","2016-09-28"," 9"," 1"," 7","10","13"
"195","2016-09-29"," 6"," 8"," 8"," 8","11"
"196","2016-09-30"," 1"," 2","11"," 9","14"
"197","2016-10-03"," 6"," 2","10","15","10"
"198","2016-10-04"," 8"," 9"," 9"," 7"," 9"
"199","2016-10-05"," 5","11"," 8"," 9","12"
"200","2016-10-06"," 7"," 6","10"," 6","13"
"201","2016-10-07"," 8"," 7","10","10","11"
"202","2016-10-10"," 2","10","10"," 9","10"
"203","2016-10-11"," 2"," 9"," 5"," 8","13"
"204","2016-10-12"," 6"," 8"," 8"," 6","10"
"205","2016-10-13"," 6"," 7","11"," 7","12"
"206","2016-10-14"," 9"," 7"," 9"," 9","10"
"207","2016-10-17"," 8","10","12","11","11"
"208","2016-10-18"," 5"," 6"," 9"," 9","11"
"209","2016-10-19"," 0","10"," 8"," 9","11"
"210","2016-10-20"," 1","10"," 5"," 9"," 8"
"211","2016-10-21"," 0","10"," 7","11","13"
"212","2016-10-24","10"," 6","11"," 8"," 0"
"213","2016-10-25","11"," 7","10","12","13"
"214","2016-10-26"," 2","10"," 8"," 9"," 7"
"215","2016-10-27"," 5"," 8","10","10","11"
"216","2016-10-28"," 0"," 0"," 0"," 7"," 0"
"217","2016-10-31"," 8","10","16"," 9","11"
"218","2016-11-01"," 0"," 6"," 1"," 9","13"
"219","2016-11-02"," 7"," 8"," 9","11"," 9"
"220","2016-11-03"," 7"," 7"," 8"," 7"," 9"
"221","2016-11-04"," 3"," 8"," 6"," 6","12"
"222","2016-11-07"," 8"," 9","11"," 8","13"
"223","2016-11-08"," 6","11"," 7"," 9","10"
"224","2016-11-09"," 5"," 6"," 4"," 6","12"
"225","2016-11-10","11"," 6"," 5"," 6","11"
"226","2016-11-11"," 6"," 6"," 6"," 6","11"
"227","2016-11-14"," 6"," 1"," 8"," 7","11"
"228","2016-11-15"," 6","10"," 4","11","10"
"229","2016-11-16","11"," 8"," 6"," 7","12"
"230","2016-11-17","11"," 8"," 9"," 8","12"
"231","2016-11-18"," 5"," 3"," 6"," 5","12"
"232","2016-11-21"," 4"," 8"," 7"," 9"," 0"
"233","2016-11-22","10"," 8"," 8"," 9","12"
"234","2016-11-23"," 8","10"," 8"," 9","13"
"235","2016-11-24","14"," 5"," 9"," 7"," 9"
"236","2016-11-25"," 4"," 3"," 5"," 6"," 7"
"237","2016-11-28"," 1"," 6"," 4"," 9"," 8"
"238","2016-11-29"," 4","10"," 6"," 9"," 0"
"239","2016-11-30"," 6"," 9"," 8"," 7"," 1"
"240","2016-12-01"," 5"," 7"," 7"," 9","11"
"241","2016-12-02"," 3"," 8"," 5"," 5","12"
"242","2016-12-05","15","11"," 5","10"," 0"
"243","2016-12-06"," 6"," 9"," 6"," 8"," 0"
"244","2016-12-07"," 1"," 7"," 6"," 9"," 0"
"245","2016-12-08"," 5"," 9"," 9"," 8"," 1"
"246","2016-12-09"," 0"," 7"," 7"," 8","13"
"247","2016-12-12","10"," 7"," 9","11"," 0"
