"SKS","Antal i Åbningstid","2018_2019"
"UXUG15/UXUG15","3479","3496"
"UXUD10","2199","3223"
"UXUD10/UXUD15","1977","2485"
"UXUD15"," 735","1036"
"UXUD61"," 440"," 534"
"UXUG00"," 411"," 610"
"UXUG15"," 196"," 271"
"UXUG05B"," 148"," 206"
"UXUG02"," 140"," 210"
"UXUB00"," 139"," 169"
"UXUF15"," 133"," 143"
"UXUG50"," 111"," 132"
"UXUA32"," 104"," 105"
"KTJJ00"," 101"," 101"
"UXUD25","  99"," 128"
"UXUF50","  96"," 106"
"UXUG25","  95"," 119"
"UXUA00","  83","  89"
"UXUD95","  83"," 108"
"KTGA30B/UXUC15","  73"," 124"
"KTJA10B","  72","  74"
"KGAA10/UXUC15","  69"," 121"
"UXUC15","  69"," 137"
"UXUG01","  60","  75"
"UXUC40","  58"," 113"
"KGAA10","  53"," 110"
"UXUD52","  45","  50"
"UXUF40","  45","  47"
"KTJA40","  44","  62"
"KJJA20/UXUD70","  43","  43"
"KTHA20/UXUC40","  42","  70"
"UXUF01","  42","  56"
"UXUF00","  41","  62"
"UXUG40","  38","  43"
"KTNF00","  37","  41"
"UXUC10/UXUC10","  37","  51"
"UXUD38","  35","  39"
"UXUF25","  35","  38"
"KTJA00","  33","  43"
"UXUD22","  30","  36"
"UXUG00/UXUG00","  30","  44"
"UXUB00A","  29","  38"
"KJAA00A","  28","  51"
"KGAA10/KJAA00A/UXUD10","  27","  46"
"UXUE30","  27","  29"
"UXUD61/UXUD75","  22","  29"
"KKKA20A","  21","  32"
"UXUB00/UXUB00","  21","  23"
"KJJA10A","  20","  33"
"KTHA20/KTHA20/UXUC40/UXUC40","  19","  51"
"UXUA80","  19","  30"
"UXUG25/UXUG25","  18","  20"
"UXUC60","  17","  28"
"KTPJ05","  16","  16"
"KTPJ05B/KTPJ05B/UXUF01/UXUF01","  16","  18"
"UXUF02","  16","  18"
"KTKK00","  15","  15"
"KTJA15","  14","  15"
"KTPJ05E/KTPJ05E/UXUG15/UXUG15","  14","  15"
"KJKA16","  12","  19"
"KTJA10A","  12","  33"
"UXUE10","  12","  13"
"UXUG02/UXUG02","  12","  18"
"KTJA40/UXUD10","  10","  17"
"UXUC40/UXUC40/ZZ0149","  10","  16"
"UXUG05B/UXUG05B","  10","  15"
"UXUG50/UXUG50","  10","  12"
"KTGA30B/KTGA30B/UXUC15/UXUC15","   9","  15"
"KTKK10","   9","  12"
"UXUA75/UXUA75","   9","  10"
"KJAA00A/UXUD10","   8","  21"
"KTNG00","   8","  10"
"UXUF05B","   8","  13"
"UXUE20","   7","  10"
"UXUG01/UXUG01","   6","   7"
"BLHN12","   5","   5"
"KNEA20A/UXUG16","   5","   5"
"UXUB00B","   5","  10"
"UXUC05","   5","   5"
"UXUD39","   5","   5"
"UXUF15/UXUF15","   5","   5"
"KJAA00A/UXUD10/UXUD15","   4","  12"
"KTPJ05B","   4","   4"
"UXUC10","   4","  10"
"UXUD60","   4","   4"
"UXUG05A/UXUG05A","   4","   4"
"UXUG40/UXUG40","   4","   4"
"KNAA20C/UXUB00","   3","   3"
"KTHA40","   3","   3"
"KTJF40","   3","   3"
"KTJJ00/UXUD10","   3","   3"
"KTJL00","   3","   3"
"KTKC10/UXUD75","   3","   5"
"UXUA75","   3","   3"
"UXUC05/UXUC05","   3","   3"
"UXUD12","   3","   4"
"UXUF01/UXUF01","   3","   3"
"KGAC00/UXUC15","   2","   2"
"KJDB10","   2","  13"
"KJJA10A/KTJA40","   2","   2"
"KJJA10A/UXUD70","   2","   3"
"KJJA20/KTNC00/UXUD70","   2","   2"
"KJLA10/UXUD10","   2","   2"
"KLAA06","   2","   2"
