"SKS","Antal i Åbningstid","2018_2019"
"UXRC00","2010","5031"
"UXRC00/UXRD00","  17","  48"
"UXRD00","  14","  51"
"UXRC00/UXRG10","   3","   9"
"NAAC/UXRC00","   2","   3"
"UXRF25","   2","   2"
"UXCA90","   1","   4"
"UXCA90/UXRC00/UXRG10","   1","   1"
"UXRC00/UXRF40","   1","   1"
"UXRC00/UXRG10/UXRG15","   1","   1"
"UXRC00/UXRG40","   1","   1"
"UXRC20","   1","   2"
"UXRC20/UXRF20","   1","   1"
"UXRF30","   1","   1"
"UXRF40","   1","   2"
"UXRG10","   1","   6"
"UXRG10/UXRG15","   1","   3"
"UXRG15","   1","   3"
"UXRG47","   1","   1"
"UXRG50","   1","   2"
"UXRG25",NA,"   2"
"UXCA90/UXRC00",NA,"   1"
"UXCC00/UXCD00",NA,"   1"
"UXRC00/UXRC20/UXRC20",NA,"   1"
"UXRC00/UXRF25",NA,"   1"
"UXRD05",NA,"   1"
"UXRD15",NA,"   1"
"UXRF20",NA,"   1"
"UXRF50",NA,"   1"
"UXRF60",NA,"   1"
"UXRF60/UXRF60",NA,"   1"
"UXRG15/UXRG15",NA,"   1"
"UXRG20",NA,"   1"
"UXRG40",NA,"   1"
"UXRG50/UXRG50",NA,"   1"
