"","date","Gennemlyser"
"1","2016-01-04"," 4"
"2","2016-01-05"," 7"
"3","2016-01-06","14"
"4","2016-01-07","10"
"5","2016-01-08"," 9"
"6","2016-01-11"," 5"
"7","2016-01-12"," 8"
"8","2016-01-13"," 4"
"9","2016-01-14"," 7"
"10","2016-01-15"," 6"
"11","2016-01-18"," 9"
"12","2016-01-19"," 6"
"13","2016-01-20"," 8"
"14","2016-01-21"," 6"
"15","2016-01-22","10"
"16","2016-01-25"," 7"
"17","2016-01-26"," 8"
"18","2016-01-27"," 4"
"19","2016-01-28"," 2"
"20","2016-01-29"," 7"
"21","2016-02-01"," 4"
"22","2016-02-02"," 6"
"23","2016-02-03"," 6"
"24","2016-02-04","12"
"25","2016-02-05"," 4"
"26","2016-02-08"," 6"
"27","2016-02-09"," 8"
"28","2016-02-10"," 4"
"29","2016-02-11"," 5"
"30","2016-02-12"," 7"
"31","2016-02-15"," 6"
"32","2016-02-16"," 6"
"33","2016-02-17"," 8"
"34","2016-02-18"," 4"
"35","2016-02-19","10"
"36","2016-02-22"," 5"
"37","2016-02-23"," 8"
"38","2016-02-24"," 6"
"39","2016-02-25"," 5"
"40","2016-02-26"," 6"
"41","2016-02-29"," 8"
"42","2016-03-01","10"
"43","2016-03-02"," 6"
"44","2016-03-03"," 6"
"45","2016-03-04"," 6"
"46","2016-03-08","10"
"47","2016-03-09"," 6"
"48","2016-03-10"," 7"
"49","2016-03-11"," 6"
"50","2016-03-14"," 7"
"51","2016-03-15"," 4"
"52","2016-03-16"," 9"
"53","2016-03-17"," 7"
"54","2016-03-18","10"
"55","2016-03-22"," 1"
"56","2016-03-28"," 1"
"57","2016-03-29","10"
"58","2016-03-30","10"
"59","2016-03-31"," 7"
"60","2016-04-01"," 4"
"61","2016-04-04"," 3"
"62","2016-04-05"," 7"
"63","2016-04-06"," 5"
"64","2016-04-07"," 6"
"65","2016-04-08"," 6"
"66","2016-04-11"," 1"
"67","2016-04-13","10"
"68","2016-04-14"," 9"
"69","2016-04-18"," 9"
"70","2016-04-19"," 7"
"71","2016-04-20"," 8"
"72","2016-04-21"," 9"
"73","2016-04-22"," 1"
"74","2016-04-25"," 8"
"75","2016-04-26"," 7"
"76","2016-04-27"," 9"
"77","2016-04-28"," 9"
"78","2016-04-29"," 3"
"79","2016-05-02"," 3"
"80","2016-05-03"," 8"
"81","2016-05-04"," 5"
"82","2016-05-06"," 1"
"83","2016-05-09"," 8"
"84","2016-05-10"," 7"
"85","2016-05-11","11"
"86","2016-05-12"," 5"
"87","2016-05-13"," 4"
"88","2016-05-17"," 7"
"89","2016-05-18"," 7"
"90","2016-05-19"," 9"
"91","2016-05-20"," 5"
"92","2016-05-23"," 7"
"93","2016-05-24"," 6"
"94","2016-05-25","10"
"95","2016-05-26"," 8"
"96","2016-05-27"," 6"
"97","2016-05-30"," 8"
"98","2016-05-31"," 8"
"99","2016-06-01"," 9"
"100","2016-06-02"," 8"
"101","2016-06-03"," 8"
"102","2016-06-06","11"
"103","2016-06-07","13"
"104","2016-06-08"," 7"
"105","2016-06-09"," 7"
"106","2016-06-10","10"
"107","2016-06-13"," 6"
"108","2016-06-14","10"
"109","2016-06-15"," 8"
"110","2016-06-16"," 5"
"111","2016-06-17"," 7"
"112","2016-06-20"," 5"
"113","2016-06-21"," 5"
"114","2016-06-23"," 7"
"115","2016-06-24"," 8"
"116","2016-06-27","12"
"117","2016-06-28","10"
"118","2016-06-29","13"
"119","2016-06-30"," 8"
"120","2016-07-01"," 8"
"121","2016-07-04"," 5"
"122","2016-07-05","10"
"123","2016-07-06"," 7"
"124","2016-07-07"," 6"
"125","2016-07-08"," 8"
"126","2016-07-11"," 6"
"127","2016-07-12"," 1"
"128","2016-07-13"," 1"
"129","2016-07-14"," 9"
"130","2016-07-15"," 1"
"131","2016-07-18"," 1"
"132","2016-07-20"," 8"
"133","2016-07-22"," 1"
"134","2016-07-27"," 1"
"135","2016-07-28"," 1"
"136","2016-07-29"," 3"
"137","2016-08-02"," 2"
"138","2016-08-03"," 3"
"139","2016-08-05"," 4"
"140","2016-08-09"," 1"
"141","2016-08-11"," 2"
"142","2016-08-12"," 2"
"143","2016-08-15"," 4"
"144","2016-08-16","10"
"145","2016-08-17"," 9"
"146","2016-08-18"," 7"
"147","2016-08-19"," 7"
"148","2016-08-22"," 5"
"149","2016-08-23"," 8"
"150","2016-08-24"," 6"
"151","2016-08-25"," 7"
"152","2016-08-26"," 8"
"153","2016-08-29"," 9"
"154","2016-08-30"," 8"
"155","2016-08-31"," 7"
"156","2016-09-01"," 6"
"157","2016-09-02"," 3"
"158","2016-09-05"," 5"
"159","2016-09-06","10"
"160","2016-09-07"," 6"
"161","2016-09-08"," 7"
"162","2016-09-09"," 9"
"163","2016-09-12"," 5"
"164","2016-09-13"," 8"
"165","2016-09-14"," 7"
"166","2016-09-15"," 7"
"167","2016-09-16"," 7"
"168","2016-09-19"," 9"
"169","2016-09-20"," 5"
"170","2016-09-21"," 8"
"171","2016-09-22"," 5"
"172","2016-09-23"," 6"
"173","2016-09-26"," 9"
"174","2016-09-27"," 8"
"175","2016-09-28","10"
"176","2016-09-29","11"
"177","2016-09-30"," 8"
"178","2016-10-03"," 9"
"179","2016-10-04"," 8"
"180","2016-10-05"," 7"
"181","2016-10-06"," 9"
"182","2016-10-07"," 3"
"183","2016-10-10"," 6"
"184","2016-10-11"," 8"
"185","2016-10-12"," 1"
"186","2016-10-13"," 7"
"187","2016-10-14"," 8"
"188","2016-10-19"," 5"
"189","2016-10-20"," 1"
"190","2016-10-24","10"
"191","2016-10-25"," 7"
"192","2016-10-26"," 9"
"193","2016-10-27"," 7"
"194","2016-10-31"," 8"
"195","2016-11-01","11"
"196","2016-11-02","10"
"197","2016-11-03"," 9"
"198","2016-11-04"," 6"
"199","2016-11-07"," 6"
"200","2016-11-08","10"
"201","2016-11-09"," 8"
"202","2016-11-10"," 7"
"203","2016-11-11"," 8"
"204","2016-11-14"," 8"
"205","2016-11-15"," 7"
"206","2016-11-16","11"
"207","2016-11-17"," 8"
"208","2016-11-18"," 8"
"209","2016-11-21"," 8"
"210","2016-11-22"," 6"
