"SKS","Antal i Åbningstid","2018_2019"
"UXRC50","1300","1307"
"UXRD00"," 178"," 182"
"UXRD15"," 166"," 172"
"UXRD37"," 133"," 133"
"UXRD05"," 104"," 106"
"UXRD35","  63","  63"
"UXRD45","  25","  30"
"UXRG25","  23","  26"
"UXRD25","  20","  23"
"UXRD05/UXRD15","  12","  12"
"UXRD75","  11","  12"
"UXRD20","  10","  10"
"UXRG30","   7","   7"
"UXRE70","   5","   7"
"UXRG25/UXRG25","   5","   5"
"KJKA30","   4","   4"
"KJKB30","   4","   5"
"UXRC50/UXRD05","   4","   4"
"UXRC50/UXRD15","   4","   4"
"UXRF15","   4","   4"
"NAAC/UXRD00","   1","   1"
"NAAC/UXRD37","   1","   1"
"UXRC00","   1","   1"
"UXRC05","   1","   1"
"UXRD15/UXRD37","   1","   1"
"UXRD40","   1","   1"
"UXRD70","   1","   2"
"UXRG10","   1","   1"
"UXRG10/UXRG15","   1","   1"
"UXRG25/UXRG27","   1","   1"
"UXRG60","   1","   1"
