"","date","Kæbeskanner"
"1","2016-01-06","1"
"2","2016-01-12","2"
"3","2016-01-13","1"
"4","2016-01-15","1"
"5","2016-01-25","1"
"6","2016-01-27","1"
"7","2016-02-02","1"
"8","2016-02-08","1"
"9","2016-02-11","1"
"10","2016-02-15","1"
"11","2016-02-19","1"
"12","2016-03-07","1"
"13","2016-03-18","1"
"14","2016-03-31","1"
"15","2016-04-01","2"
"16","2016-05-02","1"
"17","2016-06-03","1"
"18","2016-06-13","1"
"19","2016-06-17","1"
"20","2016-06-21","1"
"21","2016-07-25","2"
"22","2016-07-28","2"
"23","2016-07-29","1"
"24","2016-08-09","2"
"25","2016-08-15","1"
"26","2016-08-16","1"
"27","2016-08-22","1"
"28","2016-09-01","1"
"29","2016-09-12","1"
"30","2016-09-23","1"
"31","2016-10-10","1"
"32","2016-10-17","1"
"33","2016-10-24","1"
"34","2016-10-25","1"
"35","2016-11-07","1"
"36","2016-11-23","1"
"37","2016-11-25","2"
"38","2016-11-29","1"
"39","2017-01-02","1"
"40","2017-01-13","2"
"41","2017-01-24","1"
"42","2017-02-01","1"
"43","2017-02-14","1"
"44","2017-02-16","1"
"45","2017-02-17","2"
"46","2017-02-20","1"
"47","2017-03-06","1"
"48","2017-03-13","2"
"49","2017-03-14","1"
"50","2017-03-16","1"
"51","2017-04-12","1"
"52","2017-04-17","1"
"53","2017-05-02","1"
"54","2017-05-11","2"
"55","2017-05-15","1"
"56","2017-05-18","1"
"57","2017-05-19","1"
"58","2017-06-01","1"
"59","2017-06-12","1"
"60","2017-06-22","1"
"61","2017-06-28","1"
"62","2017-07-05","1"
"63","2017-07-06","1"
"64","2017-07-12","1"
"65","2017-07-14","1"
"66","2017-07-18","1"
"67","2017-07-20","1"
"68","2017-07-21","1"
"69","2017-07-25","1"
"70","2017-08-14","1"
"71","2017-08-15","1"
"72","2017-08-18","1"
"73","2017-08-23","1"
"74","2017-08-28","1"
"75","2017-08-30","1"
"76","2017-09-12","2"
"77","2017-09-18","1"
"78","2017-09-28","1"
"79","2017-10-10","1"
"80","2017-10-16","1"
"81","2017-10-19","1"
"82","2017-10-20","1"
"83","2017-10-30","1"
"84","2017-11-03","1"
"85","2017-11-10","1"
"86","2017-11-29","1"
"87","2017-12-18","1"
"88","2017-12-20","1"
"89","2017-12-22","1"
"90","2017-12-27","1"
"91","2018-01-02","1"
"92","2018-01-23","1"
"93","2018-02-02","1"
"94","2018-02-08","1"
"95","2018-02-19","1"
"96","2018-03-02","1"
"97","2018-03-16","2"
"98","2018-03-19","1"
"99","2018-04-05","1"
"100","2018-05-18","1"
"101","2018-05-23","1"
"102","2018-05-25","1"
"103","2018-05-29","1"
"104","2018-06-08","2"
"105","2018-06-22","1"
"106","2018-07-02","1"
"107","2018-07-11","1"
"108","2018-07-16","1"
"109","2018-08-08","1"
"110","2018-08-15","1"
"111","2018-08-22","1"
"112","2018-08-24","1"
"113","2018-09-05","1"
"114","2018-09-19","1"
"115","2018-10-10","1"
"116","2018-10-11","1"
"117","2018-10-12","1"
"118","2018-10-17","1"
"119","2018-10-31","2"
"120","2018-11-06","1"
"121","2018-11-07","1"
"122","2018-11-09","1"
"123","2018-11-14","1"
"124","2018-11-28","3"
"125","2018-12-11","1"
"126","2018-12-12","1"
"127","2018-12-14","2"
"128","2018-12-28","1"
"129","2019-01-14","1"
"130","2019-01-23","1"
"131","2019-01-28","1"
"132","2019-02-04","2"
"133","2019-02-06","1"
"134","2019-02-07","1"
"135","2019-02-11","2"
"136","2019-02-12","1"
"137","2019-02-18","1"
"138","2019-02-19","1"
"139","2019-03-07","1"
"140","2019-03-14","1"
"141","2019-03-28","1"
"142","2019-04-01","1"
"143","2019-04-08","1"
"144","2019-04-23","1"
"145","2019-04-24","1"
"146","2019-05-03","1"
"147","2019-05-07","2"
"148","2019-05-13","1"
"149","2019-05-23","1"
"150","2019-05-31","1"
"151","2019-06-05","1"
"152","2019-06-25","2"
"153","2019-06-28","1"
